SEASON,#,PLAYER,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
1981-1982,116,Mike Newlin,76,19.8,9.3,3.8,8.1,46.5,0.1,0.3,30.4,1.7,1.9,85.7,0.5,0.7,1.2,2.2,0.4,0,1.4,7.2
1981-1982,117,Len Elmore,81,25.9,9.1,3.7,8,46,0,0,0,1.7,2.1,79.4,2.1,3.4,5.4,1.2,1.1,1.1,1.7,11.6
1981-1982,118,Bill Laimbeer,80,22.9,9,3.3,6.7,49.4,0.1,0.2,30.8,2.3,2.9,79.3,2.9,4.8,7.7,1.3,0.5,0.8,1.5,13.7
1981-1982,119,Wayne Cooper,76,23.9,9,3.7,8.8,42,0,0.1,12.5,1.6,2.1,74.4,2.6,4.6,7.2,1.5,0.5,1.4,1.2,12.8
1981-1982,120,James Bailey,77,19.1,8.6,3.4,6.6,51.7,0,0,0,1.8,2.9,61.2,1.6,3.4,5.1,0.8,0.5,1.1,1.8,10
1981-1982,121,John Lucas,79,24.6,8.4,3.3,7.8,42.6,0,0.3,9.1,1.7,2.2,78.4,0.5,1.6,2.1,7,1.2,0.1,2,11.8
1981-1982,122,Elston Turner,80,25,8.3,3.5,8,44.1,0,0.1,0,1.2,1.7,70.3,1.8,2,3.8,2.4,0.9,0,1.5,8.9
1981-1982,123,Glen Gondrezick,80,21.2,8.3,3.1,6.2,50.5,0,0,0,2,2.7,73.7,1.8,3.5,5.3,1.9,1.2,0.5,1.3,12
1981-1982,124,T.R. Dunn,82,30.7,8.2,3.1,6.1,51.2,0,0,0,1.9,2.6,71.2,2.6,4.2,6.8,2.3,1.6,0.4,1.5,14.1
1981-1982,125,James Donaldson,82,20.9,8.1,3.1,5.1,60.9,0,0,0,1.8,2.9,62.9,1.7,4.3,6,0.6,0.3,1.7,1.4,12.2
1981-1982,126,Caldwell Jones,81,30.2,7.9,2.9,5.7,49.7,0,0,0,2.2,2.7,81.7,2,6.7,8.7,1.2,0.5,1.8,1.9,14.9
1981-1982,127,Rich Kelley,81,23.4,7.9,2.9,6.2,46.7,0,0,0,2.1,2.8,74.9,2.1,4.1,6.1,3.6,0.8,0.9,3,12.3
1981-1982,128,Dan Schayes,82,19.8,7.9,3.1,6.4,48.1,0,0,0,1.7,2.3,75.7,1.6,3.6,5.2,1.8,0.6,0.9,1.8,10.6
1981-1982,129,Mike Bratz,81,20,7.7,2.8,7,40.7,0.6,1.7,33.3,1.5,1.9,78.3,0.5,1.6,2,5.4,0.8,0.1,1.7,9.9
1981-1982,130,Kenny Higgs,76,22.3,7.5,2.7,6.2,43.2,0.1,0.3,19,2.1,2.6,81.7,0.3,1.6,1.9,5.2,0.9,0.1,2.1,9.6
1981-1982,131,Mike Dunleavy,70,18.8,7.4,2.9,6.4,45.8,0.5,1.2,38.4,1.1,1.5,70.8,0.3,1.1,1.5,3.2,0.6,0,1.1,7.8
1981-1982,132,Carl Nicks,80,16.5,7.4,3.2,6.9,45.4,0,0.1,0,1.1,1.9,56.7,0.8,1.2,2,1.1,0.8,0.1,1.3,5.5
1981-1982,133,Vinnie Johnson,74,17.5,7.4,2.9,6,48.9,0,0.2,25,1.4,1.9,75.4,1.1,1,2.1,2.3,0.8,0.3,1.3,8.1
1981-1982,134,Orlando Woolridge,75,15.8,7.3,2.7,5.3,51.3,0,0,0,1.9,2.7,69.9,1.1,1.9,3,1.1,0.3,0.3,1.4,7.2
