Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1997-10-31,34-256,CHI,@,BOS,L (-7),1,42:02,7,23,.304,0,0,,16,21,.762,1,5,6,4,2,1,3,2,30,18.6
2,2,1997-11-01,34-257,CHI,,PHI,W (+20),1,24:19,7,14,.500,0,0,,2,2,1.000,1,6,7,2,2,0,3,3,16,10.7
3,3,1997-11-03,34-259,CHI,,SAS,W (+4),1,47:54,12,39,.308,1,4,.250,4,6,.667,4,9,13,4,5,2,3,0,29,17.4
4,4,1997-11-05,34-261,CHI,,ORL,W (+13),1,40:40,11,25,.440,0,3,.000,7,9,.778,4,13,17,4,0,0,0,2,29,23.8
5,5,1997-11-07,34-263,CHI,@,ATL,L (-2),1,39:33,11,25,.440,0,1,.000,5,7,.714,1,8,9,6,1,0,2,1,27,19.0
6,6,1997-11-08,34-264,CHI,,NJN,W (+13),1,33:15,5,13,.385,0,1,.000,5,8,.625,1,4,5,2,2,0,2,3,15,8.8
7,7,1997-11-11,34-267,CHI,@,CLE,L (-21),1,33:42,7,17,.412,0,1,.000,5,7,.714,2,4,6,1,1,0,3,1,19,10.0
8,8,1997-11-12,34-268,CHI,,WAS,L (-7),1,40:14,10,28,.357,0,2,.000,8,12,.667,2,5,7,3,4,2,5,1,28,15.8
9,9,1997-11-14,34-270,CHI,,CHH,W (+13),1,38:14,12,24,.500,2,2,1.000,2,2,1.000,1,3,4,7,1,1,2,0,28,22.2
10,10,1997-11-15,34-271,CHI,,CLE,W (+9),1,38:44,11,26,.423,1,1,1.000,4,7,.571,0,2,2,4,2,0,5,2,27,11.6
11,11,1997-11-20,34-276,CHI,@,PHO,L (-4),1,40:47,13,27,.481,0,1,.000,4,6,.667,1,5,6,3,1,0,3,0,30,17.8
12,12,1997-11-21,34-277,CHI,@,LAC,W (+9),1,52:04,18,38,.474,0,2,.000,13,19,.684,2,3,5,5,1,1,4,3,49,29.5
13,13,1997-11-23,34-279,CHI,@,SAC,W (+15),1,40:39,11,19,.579,0,0,,11,12,.917,1,2,3,5,2,1,2,1,33,28.8
14,14,1997-11-25,34-281,CHI,@,SEA,L (-1),1,37:49,11,25,.440,0,2,.000,4,6,.667,2,4,6,5,5,0,3,1,26,19.8
15,15,1997-11-28,34-284,CHI,@,IND,L (-11),1,41:59,11,26,.423,0,2,.000,4,8,.500,1,6,7,2,2,0,1,3,26,14.3
16,16,1997-11-29,34-285,CHI,@,WAS,W (+5),1,37:16,10,21,.476,1,1,1.000,8,12,.667,0,4,4,3,2,0,2,3,29,18.8
17,17,1997-12-03,34-289,CHI,@,BOS,W (+10),1,39:33,11,21,.524,1,3,.333,6,8,.750,4,5,9,5,2,1,7,2,29,20.6
18,18,1997-12-05,34-291,CHI,,MIL,W (+22),1,35:11,4,16,.250,0,3,.000,5,6,.833,3,6,9,2,1,0,1,3,13,7.1
19,19,1997-12-09,34-295,CHI,,NYK,W (+18),1,37:18,10,23,.435,0,0,,9,9,1.000,1,3,4,4,1,0,4,4,29,16.7
20,20,1997-12-10,34-296,CHI,@,ORL,L (-8),1,36:47,6,17,.353,0,1,.000,13,13,1.000,1,1,2,5,1,0,3,3,25,16.8
21,21,1997-12-12,34-298,CHI,@,CHH,L (-2),1,40:59,12,24,.500,0,0,,4,6,.667,3,6,9,5,0,0,4,2,28,17.8
22,22,1997-12-13,34-299,CHI,,TOR,W (+27),1,26:52,4,16,.250,0,0,,3,4,.750,3,3,6,2,2,0,0,0,11,7.4
23,23,1997-12-15,34-301,CHI,,PHO,W (+7),1,36:07,10,23,.435,0,1,.000,11,12,.917,3,6,9,4,4,1,2,2,31,27.1
24,24,1997-12-17,34-303,CHI,,LAL,W (+21),1,34:41,12,22,.545,1,2,.500,11,12,.917,2,3,5,4,1,1,4,4,36,26.2
