Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1992-11-06,29-263,CHI,@,CLE,W (+5),1,37:00,12,26,.462,0,2,.000,5,6,.833,3,3,6,2,3,3,2,1,29,22.3
2,2,1992-11-07,29-264,CHI,,ATL,L (-1),1,39:00,13,29,.448,1,4,.250,8,9,.889,0,4,4,11,4,0,6,4,35,24.8
3,3,1992-11-09,29-266,CHI,,IND,W (+5),1,42:00,10,20,.500,0,1,.000,4,5,.800,0,2,2,12,2,0,4,1,24,20.2
4,4,1992-11-11,29-268,CHI,,DET,W (+2),1,52:00,13,24,.542,3,3,1.000,8,10,.800,2,8,10,4,0,1,5,1,37,26.5
5,5,1992-11-13,29-270,CHI,@,MIL,W (+5),1,42:00,14,31,.452,0,2,.000,6,8,.750,3,3,6,4,3,2,5,2,34,21.5
6,6,1992-11-14,29-271,CHI,,DEN,W (+33),1,22:00,7,13,.538,2,5,.400,2,2,1.000,0,4,4,7,3,1,2,1,18,19.1
7,7,1992-11-17,29-274,CHI,@,MIN,W (+21),1,31:00,14,21,.667,2,2,1.000,2,3,.667,1,2,3,5,4,1,3,1,32,28.6
8,8,1992-11-19,29-276,CHI,@,SEA,W (+9),1,34:00,14,22,.636,2,4,.500,5,5,1.000,1,5,6,2,2,0,2,1,35,28.4
9,9,1992-11-20,29-277,CHI,@,LAL,L (-2),1,47:00,21,39,.538,1,2,.500,11,14,.786,5,8,13,7,1,3,5,4,54,41.2
10,10,1992-11-22,29-279,CHI,@,PHO,W (+17),1,39:00,16,27,.593,0,2,.000,8,8,1.000,0,3,3,7,3,4,1,1,40,37.7
11,11,1992-11-24,29-281,CHI,@,GSW,W (+9),1,44:00,18,30,.600,1,3,.333,12,14,.857,2,3,5,7,1,1,3,2,49,39.5
12,12,1992-11-28,29-285,CHI,@,NYK,L (-37),1,38:00,4,20,.200,0,1,.000,9,9,1.000,3,3,6,4,1,0,0,2,17,10.6
13,13,1992-12-04,29-291,CHI,,POR,W (+12),1,38:00,15,25,.600,1,1,1.000,7,9,.778,4,9,13,2,1,0,1,1,38,32.2
14,14,1992-12-05,29-292,CHI,,BOS,W (+7),1,37:00,8,20,.400,0,1,.000,8,9,.889,0,3,3,5,2,0,2,2,24,16.4
15,15,1992-12-08,29-295,CHI,@,ATL,L (-9),1,46:00,14,28,.500,2,4,.500,2,2,1.000,3,9,12,8,1,0,2,5,32,25.4
16,16,1992-12-09,29-296,CHI,,CLE,W (+17),1,35:00,10,22,.455,1,3,.333,7,7,1.000,2,9,11,10,4,2,3,2,28,29.3
17,17,1992-12-11,29-298,CHI,,HOU,L (-14),1,40:00,11,23,.478,1,3,.333,3,3,1.000,4,7,11,4,0,1,4,4,26,17.1
18,18,1992-12-12,29-299,CHI,,NJN,W (+6),1,41:00,13,26,.500,3,6,.500,9,12,.750,0,6,6,3,1,1,2,2,38,26.6
19,19,1992-12-15,29-302,CHI,,CHH,W (+15),1,33:00,11,21,.524,3,3,1.000,0,0,,1,3,4,6,3,2,5,1,25,19.5
20,20,1992-12-17,29-304,CHI,@,WSB,W (+8),1,40:00,12,29,.414,0,1,.000,4,4,1.000,1,6,7,8,4,2,1,3,28,23.8
21,21,1992-12-19,29-306,CHI,,PHI,L (-2),1,42:00,11,26,.423,1,4,.250,0,0,,4,6,10,10,4,1,1,4,23,22.9
22,22,1992-12-21,29-308,CHI,,MIA,W (+4),1,43:00,6,19,.316,1,3,.333,5,6,.833,3,5,8,3,5,2,2,2,18,16.0
23,23,1992-12-23,29-310,CHI,,WSB,W (+9),1,42:00,22,37,.595,6,8,.750,7,8,.875,0,2,2,10,3,1,1,3,57,48.6
24,24,1992-12-25,29-312,CHI,,NYK,W (+12),1,41:00,15,34,.441,0,4,.000,12,16,.750,0,8,8,5,3,1,4,2,42,27.4
25,25,1992-12-26,29-313,CHI,@,IND,W (+11),1,40:00,8,22,.364,1,3,.333,0,0,,3,6,9,8,1,0,2,5,17,11.3
26,26,1992-12-29,29-316,CHI,@,CHH,W (+11),1,42:00,9,25,.360,1,3,.333,9,10,.900,4,8,12,11,0,1,3,1,28,23.9
27,27,1992-12-30,29-317,CHI,@,MIA,W (+5),1,40:00,9,18,.500,0,1,.000,21,24,.875,1,5,6,8,3,2,1,2,39,39.2
28,28,1993-01-02,29-320,CHI,,IND,W (+9),1,40:00,14,27,.519,2,4,.500,9,11,.818,3,5,8,5,1,0,2,3,39,29.8
29,29,1993-01-05,29-323,CHI,,LAL,L (-3),1,41:00,15,31,.484,1,6,.167,5,6,.833,0,4,4,5,2,1,1,4,36,24.7
30,30,1993-01-06,29-324,CHI,@,CLE,L (-22),1,34:00,10,22,.455,0,1,.000,3,5,.600,2,6,8,3,1,0,2,1,23,14.7
31,31,1993-01-08,29-326,CHI,,MIL,W (+25),1,35:00,15,26,.577,2,5,.400,3,3,1.000,3,5,8,7,4,0,2,2,35,32.5
32,32,1993-01-09,29-327,CHI,@,PHI,L (-13),1,44:00,13,36,.361,0,4,.000,4,4,1.000,2,9,11,6,2,0,3,5,30,15.3
33,33,1993-01-12,29-330,CHI,@,ORL,W (+16),1,37:00,9,22,.409,0,1,.000,5,6,.833,2,6,8,4,3,3,3,0,23,18.9
34,34,1993-01-15,29-333,CHI,,GSW,W (+21),1,38:00,10,19,.526,1,2,.500,5,5,1.000,2,10,12,10,5,2,2,1,26,32.1
35,35,1993-01-16,29-334,CHI,,ORL,L (-4),1,47:00,27,49,.551,1,5,.200,9,11,.818,4,2,6,1,5,0,2,5,64,44.8
36,36,1993-01-18,29-336,CHI,,BOS,W (+10),1,30:00,10,22,.455,0,1,.000,9,10,.900,4,4,8,3,4,1,2,1,29,25.6
37,37,1993-01-21,29-339,CHI,@,NJN,W (+13),1,39:00,12,24,.500,2,4,.500,4,4,1.000,1,2,3,4,4,0,3,2,30,22.3
38,38,1993-01-22,29-340,CHI,,CHH,L (-8),1,43:00,10,26,.385,0,2,.000,8,11,.727,2,4,6,2,3,1,1,4,28,17.7
39,39,1993-01-24,29-342,CHI,@,SAS,L (-4),1,44:00,16,35,.457,0,2,.000,10,11,.909,5,6,11,3,4,2,4,3,42,31.1
40,40,1993-01-26,29-344,CHI,@,DAL,W (+35),1,27:00,7,15,.467,1,4,.250,0,0,,2,8,10,4,3,0,3,3,15,12.7
41,41,1993-01-28,29-346,CHI,@,HOU,L (-11),1,39:00,12,27,.444,1,1,1.000,1,2,.500,0,6,6,4,5,0,3,2,26,17.3
42,42,1993-01-30,29-348,CHI,@,DEN,L (-7),1,41:00,14,31,.452,0,2,.000,11,15,.733,3,4,7,5,4,1,3,2,39,29.0
43,43,1993-02-01,29-350,CHI,@,UTA,W (+4),1,43:00,13,28,.464,1,3,.333,10,14,.714,3,4,7,2,1,1,4,0,37,23.4
44,44,1993-02-03,29-352,CHI,@,SAC,W (+19),1,39:00,14,26,.538,2,2,1.000,6,7,.857,0,3,3,2,2,2,3,5,36,23.7
45,45,1993-02-04,29-353,CHI,@,LAC,W (+2),1,47:00,13,34,.382,0,3,.000,7,7,1.000,2,4,6,4,2,1,3,5,33,17.5
46,46,1993-02-07,29-356,CHI,@,POR,W (+10),1,43:00,13,28,.464,4,7,.571,4,6,.667,3,8,11,5,2,2,1,1,34,28.8
47,47,1993-02-10,29-359,CHI,@,IND,W (+11),1,42:00,16,27,.593,1,3,.333,7,9,.778,1,8,9,8,6,0,3,2,40,37.6
48,48,1993-02-13,29-362,CHI,,CLE,L (-5),1,43:00,12,22,.545,0,3,.000,1,2,.500,1,5,6,5,3,1,3,2,25,19.6
49,49,1993-02-15,29-364,CHI,,SAC,W (+18),1,37:00,12,21,.571,0,2,.000,8,10,.800,3,5,8,6,3,1,3,3,32,28.6
50,50,1993-02-17,30-000,CHI,,UTA,W (+18),1,34:00,10,25,.400,2,6,.333,5,7,.714,4,4,8,6,3,0,3,2,27,20.1
51,51,1993-02-23,30-006,CHI,,MIL,W (+4),1,41:00,15,26,.577,0,1,.000,4,6,.667,1,2,3,4,3,1,2,3,34,25.6
52,52,1993-02-25,30-008,CHI,@,ORL,W (+2),1,41:00,13,29,.448,1,3,.333,9,10,.900,0,4,4,4,4,0,2,3,36,25.3
53,53,1993-02-27,30-010,CHI,,ATL,W (+20),1,36:00,13,27,.481,3,4,.750,5,5,1.000,2,7,9,8,2,0,2,1,34,29.0
54,54,1993-03-02,30-013,CHI,@,NJN,W (+7),1,40:00,8,17,.471,1,3,.333,7,9,.778,3,6,9,8,1,0,6,4,24,17.4
55,55,1993-03-09,30-020,CHI,,SEA,W (+3),1,41:00,15,28,.536,0,3,.000,8,9,.889,2,2,4,9,6,1,2,3,38,35.8
56,56,1993-03-11,30-022,CHI,@,MIA,L (-2),1,38:00,11,25,.440,1,2,.500,6,6,1.000,0,5,5,8,0,0,1,5,29,20.0
57,57,1993-03-12,30-023,CHI,,CHH,W (+15),1,43:00,21,35,.600,2,4,.500,8,9,.889,3,6,9,5,2,1,0,3,52,44.4
58,58,1993-03-14,30-025,CHI,@,DET,L (-2),1,43:00,11,25,.440,1,3,.333,5,6,.833,0,5,5,6,1,0,0,1,28,20.8
59,59,1993-03-15,30-026,CHI,,LAC,W (+7),1,38:00,10,22,.455,0,1,.000,3,4,.750,3,6,9,4,4,0,7,3,23,13.7
60,60,1993-03-19,30-030,CHI,,WSB,W (+5),1,39:00,9,27,.333,0,0,,7,7,1.000,1,2,3,5,2,1,0,4,25,15.6
61,61,1993-03-20,30-031,CHI,@,WSB,W (+25),1,31:00,16,27,.593,2,2,1.000,13,15,.867,0,8,8,4,2,0,1,2,47,39.1
62,62,1993-03-23,30-034,CHI,,MIN,W (+7),1,42:00,12,21,.571,4,6,.667,6,6,1.000,1,4,5,7,5,1,3,1,34,33.2
63,63,1993-03-24,30-035,CHI,@,PHI,W (+13),1,39:00,20,29,.690,2,4,.500,1,2,.500,0,2,2,4,3,0,5,2,43,30.9
64,64,1993-03-26,30-037,CHI,,ORL,W (+21),1,33:00,5,14,.357,0,0,,8,8,1.000,0,7,7,6,2,0,1,1,18,17.1
65,65,1993-03-30,30-041,CHI,,PHO,L (-4),1,40:00,19,31,.613,0,6,.000,6,7,.857,0,3,3,5,4,0,3,1,44,34.5
66,66,1993-04-02,30-044,CHI,,NJN,W (+13),1,38:00,16,24,.667,0,0,,8,9,.889,1,6,7,7,9,1,5,3,40,40.1
67,67,1993-04-04,30-046,CHI,@,BOS,W (+12),1,40:00,14,23,.609,1,1,1.000,3,6,.500,1,4,5,2,2,0,4,2,32,20.8
68,68,1993-04-06,30-048,CHI,@,MIL,L (-4),1,44:00,13,30,.433,1,6,.167,3,4,.750,1,4,5,6,4,0,5,4,30,17.3
69,69,1993-04-09,30-051,CHI,@,ATL,W (+1),1,44:00,12,23,.522,1,3,.333,5,5,1.000,1,11,12,4,4,2,7,2,30,23.1
70,70,1993-04-10,30-052,CHI,@,IND,W (+5),1,42:00,11,25,.440,0,1,.000,3,4,.750,2,4,6,5,5,0,3,3,25,18.4
71,71,1993-04-12,30-054,CHI,@,DET,W (+3),1,41:00,9,21,.429,0,4,.000,5,5,1.000,0,6,6,4,2,0,3,3,23,14.3
72,72,1993-04-14,30-056,CHI,,MIA,W (+27),1,31:00,12,19,.632,3,4,.750,7,7,1.000,1,3,4,4,2,0,1,3,34,29.7
73,73,1993-04-16,30-058,CHI,,MIL,W (+14),1,35:00,15,25,.600,0,3,.000,17,21,.810,1,6,7,5,5,0,1,1,47,43.5
74,74,1993-04-18,30-060,CHI,@,CLE,L (-9),1,45:00,13,26,.500,0,3,.000,6,7,.857,1,0,1,9,0,1,3,3,32,22.1
75,75,1993-04-20,30-062,CHI,,PHI,W (+29),1,27:00,12,22,.545,3,6,.500,1,1,1.000,1,2,3,4,8,0,1,1,28,28.1
76,76,1993-04-22,30-064,CHI,,DET,W (+6),1,46:00,15,27,.556,0,1,.000,6,11,.545,1,6,7,4,4,0,2,4,36,26.8
77,77,1993-04-23,30-065,CHI,@,CHH,L (-1),1,38:00,15,27,.556,1,2,.500,7,8,.875,1,3,4,3,0,0,2,3,38,25.2
78,78,1993-04-25,30-067,CHI,@,NYK,L (-5),1,37:00,10,28,.357,0,2,.000,1,3,.333,5,1,6,7,1,1,4,1,21,10.6
