Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
36,35,2002-01-16,38-333,WAS,@,NJN,L (-44),1,18:01,4,14,.286,0,0,,2,2,1.000,0,2,2,1,1,1,1,1,10,3.4,-28
37,36,2002-01-19,38-336,WAS,@,CHI,W (+8),1,40:41,7,21,.333,0,2,.000,2,6,.333,0,12,12,4,2,2,9,4,16,1.7,+17
38,37,2002-01-21,38-338,WAS,@,MIN,L (-4),1,39:40,12,34,.353,1,4,.250,4,5,.800,4,10,14,3,0,0,1,1,29,16.1,+2
39,38,2002-01-22,38-339,WAS,,PHI,L (-7),1,41:38,14,27,.519,1,2,.500,1,1,1.000,2,6,8,6,2,1,5,4,30,20.2,-8
40,39,2002-01-24,38-341,WAS,,CLE,W (+9),1,39:53,18,29,.621,0,0,,4,7,.571,1,7,8,2,2,0,0,2,40,31.1,+9
41,40,2002-01-26,38-343,WAS,,PHO,W (+10),1,39:54,17,30,.567,0,0,,7,9,.778,2,2,4,7,2,0,2,2,41,32.1,+18
42,41,2002-01-29,38-346,WAS,,DET,L (-3),1,41:27,13,30,.433,0,0,,6,8,.750,0,5,5,7,2,0,3,0,32,20.8,-1
43,42,2002-01-31,38-348,WAS,@,CLE,W (+1),1,39:35,11,27,.407,0,1,.000,4,4,1.000,1,4,5,8,1,0,4,0,26,16.0,+9
44,43,2002-02-01,38-349,WAS,,ATL,W (+7),1,37:52,10,24,.417,0,1,.000,8,10,.800,0,4,4,8,2,2,1,2,28,22.8,+5
45,44,2002-02-03,38-351,WAS,,IND,W (+20),1,40:42,11,19,.579,1,1,1.000,0,0,,1,4,5,6,0,0,0,2,23,19.4,+17
46,45,2002-02-05,38-353,WAS,,TOR,W (+5),1,39:29,10,21,.476,0,1,.000,3,4,.750,1,6,7,5,0,0,2,3,23,14.7,+6
47,46,2002-02-07,38-355,WAS,,SAC,W (+7),1,40:47,12,30,.400,0,1,.000,1,1,1.000,2,4,6,9,1,0,1,2,25,16.9,+1
48,47,2002-02-12,38-360,WAS,@,LAL,L (-9),1,41:02,8,20,.400,0,0,,6,8,.750,0,5,5,6,2,1,4,1,22,14.4,-2
49,48,2002-02-14,38-362,WAS,@,SAC,L (-16),1,32:28,6,18,.333,0,0,,4,6,.667,0,1,1,4,1,0,3,0,16,6.1,-21
50,49,2002-02-15,38-363,WAS,@,PHO,W (+1),1,36:36,7,19,.368,0,0,,8,9,.889,0,6,6,4,2,2,5,2,22,13.3,+4
51,50,2002-02-18,39-001,WAS,,HOU,L (-13),1,36:21,5,12,.417,0,1,.000,1,2,.500,1,5,6,11,0,0,2,2,11,11.3,-9
53,51,2002-02-21,39-004,WAS,,NJN,L (-11),1,37:29,7,17,.412,0,1,.000,2,2,1.000,0,5,5,6,3,0,4,2,16,10.8,-9
54,52,2002-02-23,39-006,WAS,,MIA,L (-2),1,37:40,13,25,.520,1,1,1.000,10,12,.833,1,4,5,7,0,0,4,3,37,25.5,-2
55,53,2002-02-24,39-007,WAS,@,MIA,L (-12),1,29:35,4,13,.308,1,2,.500,0,1,.000,0,5,5,6,3,0,6,2,9,3.0,-1
56,54,2002-03-20,39-031,WAS,@,DEN,W (+32),0,16:24,2,9,.222,0,0,,3,3,1.000,0,1,1,2,2,0,2,0,7,3.2,+7
57,55,2002-03-21,39-032,WAS,@,UTA,L (-15),0,22:00,4,12,.333,0,0,,3,4,.750,0,4,4,4,1,0,1,0,11,7.8,-9
58,56,2002-03-24,39-035,WAS,@,TOR,L (-1),0,22:39,6,17,.353,0,0,,2,2,1.000,0,3,3,2,2,0,3,4,14,4.2,+1
59,57,2002-03-26,39-037,WAS,,DEN,W (+16),0,20:04,4,9,.444,0,1,.000,1,3,.333,1,2,3,6,0,0,1,2,9,7.2,+15
60,58,2002-03-29,39-040,WAS,,MIL,W (+9),0,26:09,12,22,.545,0,0,,10,12,.833,0,3,3,1,0,0,0,1,34,23.8,-7
61,59,2002-03-31,39-042,WAS,,DAL,L (-7),0,27:41,4,14,.286,0,0,,2,2,1.000,1,2,3,5,1,1,2,1,10,5.9,-8
62,60,2002-04-02,39-044,WAS,,LAL,L (-20),0,12:16,1,5,.200,0,0,,0,0,,0,3,3,3,0,0,0,1,2,1.5,-7
