Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2002-10-30,39-255,WAS,@,TOR,L (-6),0,24:30,4,14,.286,0,0,,0,2,.000,0,3,3,1,3,0,2,3,8,0.4,+4
2,2,2002-10-31,39-256,WAS,,BOS,W (+45),0,21:26,8,15,.533,0,0,,5,5,1.000,0,4,4,5,2,1,0,1,21,20.7,+29
3,3,2002-11-02,39-258,WAS,,NJN,L (-8),0,27:25,7,16,.438,1,2,.500,6,8,.750,0,2,2,2,2,0,0,2,21,15.0,+1
4,4,2002-11-05,39-261,WAS,@,MIN,L (-4),0,28:53,5,14,.357,0,0,,0,0,,0,2,2,1,1,0,1,2,10,2.7,+2
5,5,2002-11-06,39-262,WAS,,CLE,W (+7),0,24:16,2,6,.333,0,1,.000,2,3,.667,1,2,3,4,3,0,1,3,6,7.1,+3
6,6,2002-11-08,39-264,WAS,,LAL,W (+1),0,29:50,9,14,.643,0,0,,7,12,.583,0,3,3,3,2,0,2,4,25,18.2,-7
7,7,2002-11-09,39-265,WAS,@,CLE,W (+14),0,31:31,5,11,.455,0,1,.000,2,2,1.000,2,6,8,6,0,2,0,3,12,13.9,+10
8,8,2002-11-12,39-268,WAS,,SEA,L (-6),0,30:35,13,22,.591,0,0,,1,2,.500,1,5,6,4,1,1,4,1,27,18.7,+8
9,9,2002-11-14,39-270,WAS,,UTA,W (+3),0,33:42,7,17,.412,0,1,.000,5,5,1.000,0,6,6,1,1,0,3,4,19,8.8,+11
10,10,2002-11-16,39-272,WAS,,MIA,W (+30),0,18:48,4,5,.800,0,0,,0,0,,0,5,5,2,2,0,1,3,8,8.8,+16
11,11,2002-11-17,39-273,WAS,@,PHI,L (-16),0,27:49,9,16,.563,1,2,.500,0,0,,0,2,2,3,1,0,5,1,19,9.7,-13
12,12,2002-11-22,39-278,WAS,@,HOU,L (-7),0,29:28,4,15,.267,0,0,,0,0,,0,2,2,1,0,0,1,2,8,-1.4,-6
13,13,2002-11-23,39-279,WAS,@,MEM,L (-11),0,31:37,9,18,.500,0,0,,2,2,1.000,2,4,6,5,2,0,3,1,20,15.7,-6
14,14,2002-11-26,39-282,WAS,,IND,L (-4),0,33:41,10,21,.476,3,3,1.000,5,8,.625,0,1,1,2,3,0,1,2,28,19.0,+2
15,15,2002-11-29,39-285,WAS,@,IND,L (-16),0,30:20,6,15,.400,0,1,.000,2,2,1.000,0,4,4,1,1,0,1,2,14,7.0,-15
16,16,2002-11-30,39-286,WAS,,PHI,L (-1),1,37:07,8,20,.400,0,2,.000,0,0,,1,3,4,2,0,1,2,3,16,5.7,-1
17,17,2002-12-03,39-289,WAS,,MIL,W (+25),1,29:44,9,20,.450,0,0,,7,8,.875,0,7,7,4,0,0,1,1,25,17.7,+21
18,18,2002-12-04,39-290,WAS,@,DET,W (+5),1,38:38,5,14,.357,0,0,,11,16,.688,2,7,9,4,6,2,3,2,21,21.1,+16
19,19,2002-12-06,39-292,WAS,@,ORL,L (-10),1,38:50,7,21,.333,0,0,,2,2,1.000,1,5,6,0,0,0,3,3,16,2.1,-12
20,20,2002-12-07,39-293,WAS,,NYK,W (+3),1,37:04,9,18,.500,0,1,.000,2,4,.500,0,9,9,2,3,0,2,3,20,14.1,+7
21,21,2002-12-10,39-296,WAS,,POR,L (-19),1,28:31,6,10,.600,0,0,,2,2,1.000,2,3,5,1,1,1,1,0,14,13.1,-15
22,22,2002-12-13,39-299,WAS,@,NJN,L (-14),1,40:14,5,20,.250,0,0,,2,2,1.000,0,5,5,4,2,0,4,2,12,1.5,-14
23,23,2002-12-15,39-301,WAS,@,TOR,W (+13),1,39:32,1,9,.111,0,0,,0,0,,2,6,8,9,2,1,0,2,2,7.5,+11
24,24,2002-12-17,39-303,WAS,@,ATL,W (+10),1,37:47,12,18,.667,0,0,,6,6,1.000,0,3,3,2,0,0,1,3,30,22.3,+3
25,25,2002-12-18,39-304,WAS,,MEM,W (+18),1,35:28,14,23,.609,2,3,.667,3,3,1.000,0,5,5,2,3,0,3,0,33,25.4,+4
26,26,2002-12-21,39-307,WAS,@,SAS,L (-11),1,41:00,8,20,.400,0,0,,0,0,,0,5,5,3,0,1,2,1,16,7.1,-15
27,27,2002-12-23,39-309,WAS,@,DAL,L (-6),1,36:05,5,15,.333,1,1,1.000,2,2,1.000,0,7,7,8,0,2,3,3,13,9.4,-2
28,28,2002-12-26,39-312,WAS,,DET,L (-5),1,41:13,7,17,.412,0,1,.000,3,4,.750,1,3,4,1,0,2,4,4,17,5.6,-8
29,29,2002-12-28,39-314,WAS,,ATL,W (+8),1,34:43,4,10,.400,0,1,.000,2,2,1.000,1,3,4,5,1,1,0,2,10,10.6,+4
30,30,2002-12-30,39-316,WAS,@,ORL,L (-17),1,38:54,8,17,.471,0,0,,5,5,1.000,0,8,8,9,3,0,4,4,21,18.4,-9
