Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
31,31,2002-12-31,39-317,WAS,,SAS,W (+2),1,34:55,7,15,.467,1,1,1.000,2,2,1.000,1,6,7,3,1,0,2,1,17,12.5,+4
32,32,2003-01-02,39-319,WAS,@,CHI,W (+25),1,30:01,4,11,.364,0,2,.000,2,2,1.000,1,4,5,5,2,0,3,1,10,7.9,+32
33,33,2003-01-04,39-321,WAS,,IND,W (+3),1,52:48,14,26,.538,3,4,.750,10,12,.833,3,9,12,4,3,0,2,2,41,35.4,+15
34,34,2003-01-06,39-323,WAS,@,BOS,W (+5),1,39:33,7,18,.389,0,2,.000,5,5,1.000,0,11,11,7,4,0,4,2,19,16.6,+6
35,35,2003-01-08,39-325,WAS,,CHI,W (+3),1,33:26,5,13,.385,0,0,,4,5,.800,0,10,10,7,1,0,2,4,14,11.8,+7
36,36,2003-01-10,39-327,WAS,,GSW,L (-5),1,40:37,7,17,.412,0,0,,0,0,,0,2,2,5,0,1,0,1,14,9.3,-8
37,37,2003-01-11,39-328,WAS,@,NYK,W (+5),1,41:26,8,25,.320,0,0,,7,9,.778,5,5,10,3,1,0,2,2,23,13.2,+9
38,38,2003-01-14,39-331,WAS,,TOR,L (-9),1,40:40,8,23,.348,0,0,,6,6,1.000,2,3,5,4,3,2,2,1,22,16.2,-3
39,39,2003-01-16,39-333,WAS,,ORL,W (+15),1,39:02,12,25,.480,0,1,.000,8,10,.800,1,5,6,8,2,0,1,3,32,26.1,+11
40,40,2003-01-18,39-335,WAS,,PHI,L (-8),1,42:13,10,25,.400,0,3,.000,5,6,.833,2,6,8,7,5,1,2,4,25,21.3,-14
41,41,2003-01-20,39-337,WAS,,DEN,W (+15),1,41:33,11,22,.500,0,2,.000,3,4,.750,1,4,5,6,1,1,3,3,25,17.2,+15
42,42,2003-01-22,39-339,WAS,@,NOH,L (-9),1,38:03,9,21,.429,0,0,,0,0,,0,4,4,3,3,0,2,1,18,10.8,-10
43,43,2003-01-24,39-341,WAS,@,CHI,L (-7),1,39:33,4,14,.286,0,0,,3,4,.750,2,3,5,3,1,1,1,2,11,6.7,+4
44,44,2003-01-25,39-342,WAS,,MIN,L (-8),1,40:35,8,18,.444,0,1,.000,1,2,.500,0,8,8,5,2,1,4,0,17,11.8,-8
45,45,2003-01-27,39-344,WAS,,PHO,W (+5),1,37:58,9,14,.643,0,0,,1,2,.500,0,7,7,1,2,0,5,1,19,11.8,+9
46,46,2003-01-29,39-346,WAS,@,NJN,L (-8),1,37:12,4,16,.250,0,0,,0,0,,0,5,5,5,0,0,3,2,8,-0.4,-8
47,47,2003-01-30,39-347,WAS,@,MIL,L (-7),1,39:04,11,24,.458,0,1,.000,2,3,.667,2,2,4,4,1,0,2,1,24,14.6,-16
48,48,2003-02-01,39-349,WAS,,NOH,W (+5),1,43:53,18,33,.545,0,0,,9,10,.900,1,2,3,6,1,1,2,5,45,31.9,+14
49,49,2003-02-04,39-352,WAS,,CLE,W (+9),1,42:35,13,26,.500,0,0,,1,1,1.000,0,4,4,8,4,1,2,3,27,22.3,+8
50,50,2003-02-11,39-359,WAS,@,SAC,L (-19),1,30:30,5,19,.263,0,0,,2,2,1.000,2,5,7,2,0,0,1,0,12,4.0,-25
51,51,2003-02-12,39-360,WAS,@,LAC,W (+4),1,39:30,8,24,.333,0,0,,7,9,.778,2,4,6,12,2,1,2,6,23,17.9,+10
52,52,2003-02-14,39-362,WAS,@,UTA,L (-32),1,29:12,3,12,.250,0,0,,5,5,1.000,1,1,2,3,0,0,2,0,11,4.9,-35
53,53,2003-02-19,40-002,WAS,@,NOH,L (-12),1,39:17,8,23,.348,0,0,,4,6,.667,3,3,6,2,0,2,3,0,20,9.1,-21
54,54,2003-02-21,40-004,WAS,,NJN,W (+3),1,43:01,18,30,.600,0,0,,7,8,.875,0,10,10,3,4,1,1,2,43,36.8,+9
55,55,2003-02-23,40-006,WAS,,DAL,L (-5),1,51:33,14,26,.538,0,0,,2,2,1.000,2,7,9,3,2,1,6,3,30,18.5,-1
56,56,2003-02-25,40-008,WAS,@,IND,W (+5),1,40:48,11,25,.440,0,0,,3,4,.750,0,6,6,3,1,0,1,2,25,14.6,+13
57,57,2003-02-27,40-010,WAS,,HOU,W (+2),1,49:56,15,26,.577,0,0,,5,7,.714,0,11,11,6,0,0,3,3,35,25.3,0
58,58,2003-03-01,40-012,WAS,,CHI,W (+8),1,42:46,7,18,.389,0,2,.000,3,4,.750,0,8,8,8,0,0,2,2,17,12.0,+21
59,59,2003-03-02,40-013,WAS,@,MIA,L (-10),1,38:45,9,27,.333,0,1,.000,3,3,1.000,1,7,8,2,1,3,0,2,21,12.2,+1
60,60,2003-03-04,40-015,WAS,,TOR,L (-3),1,14:48,2,5,.400,0,0,,0,0,,1,2,3,2,0,0,3,1,4,0.6,-2
61,61,2003-03-05,40-016,WAS,,LAC,W (+19),1,24:23,4,14,.286,0,0,,2,2,1.000,3,6,9,0,0,0,1,2,10,3.9,+11
62,62,2003-03-07,40-018,WAS,,MIL,L (-3),1,42:58,11,24,.458,0,1,.000,5,6,.833,0,9,9,3,2,0,1,2,27,19.2,+7
63,63,2003-03-09,40-020,WAS,@,NYK,L (-1),1,42:58,13,22,.591,0,0,,13,15,.867,1,7,8,1,1,0,3,3,39,28.3,+7
64,64,2003-03-11,40-022,WAS,,ORL,W (+1),1,39:40,10,18,.556,0,0,,3,3,1.000,0,4,4,2,2,0,9,4,23,8.4,-5
65,65,2003-03-14,40-025,WAS,@,DET,L (-10),1,39:48,6,18,.333,0,0,,3,4,.750,1,4,5,4,2,1,0,2,15,11.0,-17
66,66,2003-03-15,40-026,WAS,,MIA,W (+7),1,39:29,9,18,.500,0,1,.000,1,1,1.000,2,6,8,1,2,2,3,3,19,13.1,+4
67,67,2003-03-18,40-029,WAS,,DET,L (-4),1,50:08,10,25,.400,0,1,.000,3,4,.750,1,10,11,3,0,0,2,2,23,12.1,-2
68,68,2003-03-21,40-032,WAS,@,PHO,L (-26),1,35:38,4,12,.333,0,1,.000,6,6,1.000,2,3,5,2,1,1,2,0,14,10.6,-29
69,69,2003-03-23,40-034,WAS,@,GSW,L (-6),1,41:59,11,23,.478,1,1,1.000,1,1,1.000,0,5,5,4,2,0,3,2,24,14.8,-5
70,70,2003-03-25,40-036,WAS,@,POR,W (+4),1,41:10,11,19,.579,0,0,,3,4,.750,0,5,5,7,2,0,1,4,25,21.5,+6
71,71,2003-03-26,40-037,WAS,@,SEA,W (+6),1,43:49,12,22,.545,0,0,,2,3,.667,1,9,10,4,2,1,4,3,26,18.7,+5
72,72,2003-03-28,40-039,WAS,@,LAL,L (-14),1,40:37,10,20,.500,0,0,,3,4,.750,0,0,0,4,1,0,1,1,23,15.0,-10
73,73,2003-03-30,40-041,WAS,@,DEN,L (-16),1,37:34,9,23,.391,0,1,.000,1,2,.500,1,4,5,2,1,0,5,1,19,5.0,-20
74,74,2003-04-02,40-044,WAS,,SAC,L (-6),1,42:00,8,17,.471,0,0,,1,2,.500,0,1,1,4,0,0,1,2,17,9.2,-2
75,75,2003-04-03,40-045,WAS,@,ATL,L (-2),1,42:38,10,23,.435,0,1,.000,2,2,1.000,1,13,14,7,2,0,0,2,22,20.6,-5
76,76,2003-04-06,40-048,WAS,@,BOS,W (+1),1,46:52,10,22,.455,1,1,1.000,4,4,1.000,2,11,13,7,2,0,2,3,25,22.0,-9
77,77,2003-04-08,40-050,WAS,@,CLE,W (+9),1,45:38,10,19,.526,1,1,1.000,5,5,1.000,3,7,10,3,3,1,1,0,26,25.7,+11
78,78,2003-04-09,40-051,WAS,,BOS,L (-4),1,42:35,8,17,.471,1,2,.500,4,4,1.000,0,10,10,1,2,0,1,2,21,16.2,0
79,79,2003-04-11,40-053,WAS,@,MIA,W (+4),1,39:43,11,26,.423,0,1,.000,3,3,1.000,1,1,2,4,2,0,1,2,25,15.2,+2
80,80,2003-04-12,40-054,WAS,,ATL,L (-1),1,29:51,8,16,.500,0,0,,1,2,.500,2,6,8,6,1,1,2,3,17,14.5,+12
81,81,2003-04-14,40-056,WAS,,NYK,L (-14),1,37:33,9,22,.409,0,3,.000,3,3,1.000,1,7,8,1,1,0,2,1,21,11.3,-11
82,82,2003-04-16,40-058,WAS,@,PHI,L (-20),1,28:10,6,15,.400,0,0,,3,4,.750,0,4,4,4,0,0,2,0,15,8.5,-12
