Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1991-11-01,28-257,CHI,,PHI,W (+20),1,30:00,11,18,.611,0,3,.000,4,6,.667,1,4,5,4,3,1,2,2,26,22.6
2,2,1991-11-02,28-258,CHI,@,MIL,L (-2),1,42:00,19,29,.655,1,2,.500,7,7,1.000,0,3,3,3,5,1,4,1,46,37.6
3,3,1991-11-05,28-261,CHI,,GSW,L (-8),1,46:00,17,22,.773,1,2,.500,5,8,.625,2,5,7,4,1,1,5,5,40,30.6
4,4,1991-11-06,28-262,CHI,@,BOS,W (+19),1,38:00,16,26,.615,3,4,.750,9,9,1.000,0,3,3,6,1,1,2,2,44,36.2
5,5,1991-11-08,28-264,CHI,,DAL,W (+16),1,36:00,10,15,.667,0,0,,6,8,.750,1,6,7,5,4,0,0,1,26,28.3
6,6,1991-11-09,28-265,CHI,,ORL,W (+31),1,35:00,13,26,.500,0,3,.000,1,1,1.000,2,3,5,9,3,1,1,2,27,24.5
7,7,1991-11-12,28-268,CHI,,DET,W (+17),1,29:00,8,14,.571,0,1,.000,4,5,.800,0,3,3,4,3,0,0,4,20,18.1
8,8,1991-11-13,28-269,CHI,@,CHH,W (+22),1,33:00,11,19,.579,1,3,.333,12,12,1.000,1,5,6,5,3,3,2,1,35,34.5
9,9,1991-11-15,28-271,CHI,,MIL,W (+13),1,37:00,5,10,.500,0,0,,7,8,.875,2,5,7,11,1,0,3,2,17,19.4
10,10,1991-11-20,28-276,CHI,@,GSW,W (+4),1,45:00,12,25,.480,0,0,,11,13,.846,1,8,9,7,3,1,3,3,35,29.0
11,11,1991-11-22,28-278,CHI,@,SEA,W (+3),1,45:00,11,26,.423,0,1,.000,9,10,.900,1,5,6,4,2,0,1,6,31,20.4
12,12,1991-11-23,28-279,CHI,@,DEN,W (+7),1,41:00,15,28,.536,0,1,.000,7,7,1.000,0,6,6,3,0,1,2,5,37,24.0
13,13,1991-11-26,28-282,CHI,@,LAC,W (+37),1,33:00,11,19,.579,0,2,.000,1,2,.500,1,9,10,5,1,0,6,3,23,14.4
14,14,1991-11-29,28-285,CHI,@,POR,W (+2),1,51:00,16,39,.410,0,1,.000,8,10,.800,3,5,8,7,3,1,3,4,40,25.9
15,15,1991-11-30,28-286,CHI,@,SAC,W (+16),1,39:00,13,21,.619,0,2,.000,4,9,.444,0,6,6,8,0,1,2,4,30,23.0
16,16,1991-12-04,28-290,CHI,,CLE,W (+6),1,41:00,7,20,.350,0,1,.000,2,2,1.000,1,8,9,9,3,0,7,4,16,8.6
