Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1,1,1996-11-01,33-258,CHI,@,BOS,W (+9),1,43:27,10,22,.455,0,5,.000,10,13,.769,1,3,4,3,0,0,1,2,30,19.3
2,2,1996-11-02,33-259,CHI,,PHI,W (+29),1,30:19,11,20,.550,3,7,.429,2,2,1.000,1,1,2,5,4,0,2,2,27,23.1
3,3,1996-11-05,33-262,CHI,,VAN,W (+23),1,31:24,9,18,.500,3,5,.600,1,1,1.000,2,5,7,3,4,0,4,2,22,17.2
4,4,1996-11-06,33-263,CHI,@,MIA,W (+6),1,39:35,18,33,.545,1,2,.500,13,14,.929,1,5,6,0,1,1,0,1,50,37.2
5,5,1996-11-08,33-265,CHI,@,DET,W (+18),1,35:43,6,14,.429,1,3,.333,2,2,1.000,1,3,4,8,1,0,0,3,15,14.6
6,6,1996-11-09,33-266,CHI,,BOS,W (+12),1,31:35,10,23,.435,0,2,.000,7,11,.636,2,1,3,3,1,0,0,2,27,17.3
7,7,1996-11-11,33-268,CHI,,PHO,W (+18),1,35:30,12,21,.571,1,1,1.000,1,2,.500,1,1,2,5,1,1,3,1,26,18.5
8,8,1996-11-13,33-270,CHI,,MIA,W (+32),1,33:38,8,23,.348,0,1,.000,12,16,.750,1,4,5,3,1,0,0,3,28,17.3
9,9,1996-11-15,33-272,CHI,@,CHH,W (+23),1,28:43,15,25,.600,4,5,.800,4,4,1.000,0,1,1,2,1,1,1,2,38,28.1
10,10,1996-11-16,33-273,CHI,,ATL,W (+28),1,35:09,11,23,.478,0,1,.000,3,4,.750,0,5,5,3,1,0,2,2,25,14.7
11,11,1996-11-20,33-277,CHI,@,PHO,W (+14),1,35:06,16,29,.552,0,0,,5,6,.833,1,3,4,4,1,1,2,3,37,25.6
12,12,1996-11-21,33-278,CHI,@,DEN,W (+18),1,33:35,12,23,.522,0,2,.000,7,7,1.000,4,3,7,3,2,1,2,2,31,25.4
13,13,1996-11-23,33-280,CHI,@,UTA,L (-5),1,39:25,17,32,.531,0,6,.000,10,12,.833,1,5,6,4,2,1,2,3,44,32.1
14,14,1996-11-25,33-282,CHI,@,LAC,W (+4),1,42:31,14,26,.538,1,3,.333,11,12,.917,1,6,7,2,2,4,2,3,40,32.5
15,15,1996-11-29,33-286,CHI,@,DAL,W (+19),1,39:48,13,23,.565,4,5,.800,6,6,1.000,0,7,7,4,2,0,2,1,36,29.6
16,16,1996-11-30,33-287,CHI,@,SAS,W (+9),1,38:30,14,35,.400,2,5,.400,5,5,1.000,0,9,9,3,0,0,1,0,35,19.9
17,17,1996-12-03,33-290,CHI,@,MIL,W (+3),1,41:13,13,27,.481,0,0,,14,17,.824,2,4,6,6,0,0,3,1,40,28.5
18,18,1996-12-05,33-292,CHI,,LAC,W (+18),1,31:25,9,21,.429,0,3,.000,2,3,.667,1,3,4,6,2,0,1,3,20,14.1
19,19,1996-12-07,33-294,CHI,,MIA,L (-3),1,41:56,16,30,.533,0,3,.000,5,6,.833,1,8,9,3,0,0,0,1,37,26.8
20,20,1996-12-08,33-295,CHI,@,TOR,L (-8),1,40:42,5,17,.294,1,4,.250,2,2,1.000,0,9,9,8,2,2,3,1,13,11.4
21,21,1996-12-11,33-298,CHI,,MIN,W (+17),1,36:12,10,16,.625,1,1,1.000,6,6,1.000,0,7,7,3,3,0,1,0,27,26.0
22,22,1996-12-13,33-300,CHI,@,NJN,W (+21),1,33:59,9,19,.474,3,5,.600,11,12,.917,0,6,6,6,4,0,1,2,32,30.1
23,23,1996-12-14,33-301,CHI,,CHH,W (+5),1,41:00,10,26,.385,0,3,.000,9,12,.750,2,7,9,5,5,0,1,0,29,24.6
24,24,1996-12-17,33-304,CHI,,LAL,W (+6),1,47:08,10,32,.313,0,2,.000,10,14,.714,5,4,9,3,1,1,2,2,30,15.7
25,25,1996-12-19,33-306,CHI,@,CHH,W (+21),1,35:58,13,27,.481,3,8,.375,6,7,.857,5,3,8,1,1,1,2,0,35,25.7
26,26,1996-12-21,33-308,CHI,@,PHI,W (+6),1,43:52,12,29,.414,1,3,.333,6,8,.750,0,1,1,3,1,1,1,4,31,16.2
27,27,1996-12-23,33-310,CHI,,NJN,W (+32),1,33:03,10,18,.556,0,1,.000,4,4,1.000,2,1,3,4,0,0,3,1,24,16.5
28,28,1996-12-25,33-312,CHI,,DET,W (+12),1,46:14,9,21,.429,0,4,.000,5,7,.714,6,4,10,2,1,0,4,3,23,13.7
29,29,1996-12-26,33-313,CHI,@,ATL,L (-5),1,39:30,10,25,.400,2,5,.400,12,13,.923,0,3,3,1,2,1,0,2,34,23.6
30,30,1996-12-28,33-315,CHI,,CLE,W (+5),1,41:34,13,25,.520,0,1,.000,19,20,.950,2,5,7,5,3,0,4,4,45,36.1
31,31,1996-12-30,33-317,CHI,,IND,W (+2),1,39:48,12,29,.414,1,5,.200,3,4,.750,3,4,7,4,1,0,3,1,28,15.8
32,32,1997-01-03,33-321,CHI,,ORL,W (+21),1,35:05,10,18,.556,0,2,.000,2,2,1.000,1,3,4,6,2,1,2,2,22,19.1
33,33,1997-01-06,33-324,CHI,,UTA,W (+13),1,40:16,8,20,.400,2,3,.667,5,6,.833,3,5,8,3,3,1,1,1,23,19.8
34,34,1997-01-10,33-328,CHI,@,MIL,W (+15),1,38:11,11,23,.478,3,4,.750,8,13,.615,1,4,5,3,0,0,0,2,33,22.5
35,35,1997-01-11,33-329,CHI,,HOU,W (+24),1,38:37,12,25,.480,4,6,.667,4,4,1.000,0,6,6,7,2,0,3,1,32,24.6
36,36,1997-01-14,33-332,CHI,,WSB,W (+1),1,39:43,14,27,.519,0,4,.000,11,11,1.000,0,2,2,2,2,0,0,3,39,28.5
37,37,1997-01-15,33-333,CHI,@,MIN,W (+10),1,34:57,12,22,.545,1,5,.200,0,0,,1,2,3,4,1,1,3,2,25,16.4
38,38,1997-01-17,33-335,CHI,,MIL,W (+27),1,36:00,10,15,.667,1,2,.500,3,4,.750,1,6,7,11,2,0,1,2,24,27.5
