Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
40,40,1990-01-23,26-340,CHI,,DET,L (-12),1,45:00,11,31,.355,1,6,.167,9,11,.818,2,4,6,2,2,1,4,5,32,14.6
41,41,1990-01-26,26-343,CHI,@,PHI,L (-11),1,42:00,12,27,.444,0,2,.000,7,9,.778,2,3,5,11,2,0,1,3,31,25.9
42,42,1990-01-27,26-344,CHI,,NJN,W (+3),1,35:00,15,25,.600,1,3,.333,8,8,1.000,2,5,7,4,4,0,3,3,39,33.0
43,43,1990-01-29,26-346,CHI,,ATL,W (+10),1,30:00,7,14,.500,0,2,.000,2,3,.667,2,5,7,9,1,1,4,2,16,14.7
44,44,1990-02-01,26-349,CHI,@,HOU,L (-27),1,38:00,16,31,.516,0,2,.000,3,4,.750,2,4,6,5,2,0,3,0,35,24.4
45,45,1990-02-03,26-351,CHI,@,SAS,L (-1),1,46:00,17,32,.531,2,4,.500,8,8,1.000,3,0,3,5,2,0,3,3,44,31.8
46,46,1990-02-07,26-355,CHI,@,LAL,L (-18),1,40:00,12,21,.571,0,1,.000,8,12,.667,0,4,4,4,0,1,8,3,32,16.0
47,47,1990-02-08,26-356,CHI,@,DEN,L (-25),1,37:00,5,18,.278,1,2,.500,4,6,.667,0,1,1,8,1,1,4,2,15,6.4
48,48,1990-02-13,26-361,CHI,@,MIA,W (+12),1,40:00,8,16,.500,0,1,.000,10,11,.909,1,3,4,6,3,0,3,4,26,21.8
49,49,1990-02-14,26-362,CHI,@,ORL,L (-6),1,47:00,21,43,.488,0,2,.000,7,10,.700,1,6,7,2,0,1,0,1,49,30.3
50,50,1990-02-16,26-364,CHI,,MIA,W (+14),1,31:00,10,14,.714,1,2,.500,5,6,.833,0,3,3,4,2,0,5,2,26,19.7
51,51,1990-02-18,27-001,CHI,@,MIL,W (+23),1,36:00,15,26,.577,0,2,.000,9,10,.900,1,2,3,4,2,1,0,4,39,31.6
