PLAYER,YEAR,ERA,POS,TEAM,FG%,PPG,RPG,APG,BLKPG
Dirk Nowitzki,2006,2005-09,F,Dallas Mavericks,0.48,26.6,9,2.8,1
Shaquille O'Neal,2006,2005-09,C,Miami Heat,0.6,20,9.2,1.9,1.8
LeBron James,2006,2005-09,F,Cleveland Cavaliers,0.48,31.4,7,6.6,0.8
Tim Duncan,2005,2005-09,F,San Antonio Spurs,0.496,20.3,11.1,2.7,2.6
Allen Iverson,2005,2005-09,G,Philadelphia 76ers,0.424,30.7,4,7.9,0.1
Steve Nash,2005,2005-09,G,Phoenix Suns,0.502,15.5,3.3,11.5,0.1
Dirk Nowitzki,2005,2005-09,F,Dallas Mavericks,0.459,26.1,9.7,3.1,1.5
Shaquille O'Neal,2005,2005-09,C,Miami Heat,0.601,22.9,10.4,2.7,2.3
Kobe Bryant,2004,2000-04,G,Los Angeles Lakers,0.438,24,5.5,5.1,0.4
Tim Duncan,2004,2000-04,F,San Antonio Spurs,0.501,22.3,12.4,3.1,2.7
Kevin Garnett,2004,2000-04,F,Minnesota Timberwolves,0.499,24.2,13.9,5,2.2
Jason Kidd,2004,2000-04,G,New Jersey Nets,0.384,15.5,6.4,9.2,0.2
Shaquille O'Neal,2004,2000-04,C,Los Angeles Lakers,0.584,21.5,11.5,2.9,2.5
Kobe Bryant,2003,2000-04,G,Los Angeles Lakers,0.451,30,6.9,5.9,0.8
Tim Duncan,2003,2000-04,F,San Antonio Spurs,0.513,23.3,12.9,3.9,2.9
Kevin Garnett,2003,2000-04,F,Minnesota Timberwolves,0.502,23,13.4,6,1.6
Tracy McGrady,2003,2000-04,G,Orlando Magic,0.457,32.1,6.5,5.5,0.8
Shaquille O'Neal,2003,2000-04,C,Los Angeles Lakers,0.574,27.5,11.1,3.1,2.4
Kobe Bryant,2002,2000-04,G,Los Angeles Lakers,0.469,25.2,5.5,5.5,0.4
Tim Duncan,2002,2000-04,F,San Antonio Spurs,0.508,25.5,12.7,3.7,2.5
Jason Kidd,2002,2000-04,G,New Jersey Nets,0.391,14.7,7.3,9.9,0.2
Tracy McGrady,2002,2000-04,F,Orlando Magic,0.451,25.6,7.9,5.3,1
Shaquille O'Neal,2002,2000-04,C,Los Angeles Lakers,0.579,27.2,10.7,3,2
Tim Duncan,2001,2000-04,F,San Antonio Spurs,0.499,22.2,12.2,3,2.3
Allen Iverson,2001,2000-04,G,Philadelphia 76ers,0.42,31.1,3.8,4.6,0.3
Jason Kidd,2001,2000-04,G,Phoenix Suns,0.411,16.9,6.4,9.8,0.3
Shaquille O'Neal,2001,2000-04,C,Los Angeles Lakers,0.572,28.7,12.7,3.7,2.8
Chris Webber,2001,2000-04,F,Sacramento Kings,0.481,27.1,11.1,4.2,1.7
Tim Duncan,2000,2000-04,F,San Antonio Spurs,0.49,23.2,12.4,3.2,2.2
Kevin Garnett,2000,2000-04,F,Minnesota Timberwolves,0.497,22.9,11.8,5,1.6
Jason Kidd,2000,2000-04,G,Phoenix Suns,0.409,14.3,7.2,10.1,0.4
Shaquille O'Neal,2000,2000-04,C,Los Angeles Lakers,0.574,29.7,13.6,3.8,3
Gary Payton,2000,2000-04,G,Seattle SuperSonics,0.448,24.2,6.5,8.9,0.2
Tim Duncan,1999,1995-99,F,San Antonio Spurs,0.495,21.7,11.4,2.4,2.5
Allen Iverson,1999,1995-99,G,Philadelphia 76ers,0.412,26.8,4.9,4.6,0.1
Jason Kidd,1999,1995-99,G,Phoenix Suns,0.444,16.9,6.8,10.8,0.4
Karl Malone,1999,1995-99,F,Utah Jazz,0.493,23.8,9.4,4.1,0.6
Alonzo Mourning,1999,1995-99,C,Miami Heat,0.511,20.1,11,1.6,3.9
Tim Duncan,1998,1995-99,F,San Antonio Spurs,0.549,21.1,11.9,2.7,2.5
Karl Malone,1998,1995-99,F,Utah Jazz,0.53,27,10.3,3.9,0.9
Shaquille O'Neal,1998,1995-99,C,Los Angeles Lakers,0.584,28.3,11.4,2.4,2.4
Gary Payton,1998,1995-99,G,Seattle SuperSonics,0.453,19.2,4.6,8.3,0.2
Michael Jordan,1998,1995-99,G,Chicago Bulls,0.465,28.7,5.8,3.5,0.5
Tim Hardaway,1997,1995-99,G,Miami Heat,0.415,20.3,3.4,8.6,0.1
Grant Hill,1997,1995-99,F,Detroit Pistons,0.496,21.4,9,7.3,0.6
Karl Malone,1997,1995-99,F,Utah Jazz,0.55,27.4,9.9,4.5,0.6
Hakeem Olajuwon,1997,1995-99,C,Houston Rockets,0.51,23.2,9.2,3,2.2
Michael Jordan,1997,1995-99,G,Chicago Bulls,0.486,29.6,5.9,4.3,0.5
Anfernee Hardaway,1996,1995-99,G,Orlando Magic,0.513,21.7,4.3,7.1,0.5
Karl Malone,1996,1995-99,F,Utah Jazz,0.519,25.7,9.8,4.2,0.7
Scottie Pippen,1996,1995-99,F,Chicago Bulls,0.463,19.4,6.4,5.9,0.7
David Robinson,1996,1995-99,C,San Antonio Spurs,0.516,25,12.2,3,3.3
Michael Jordan,1996,1995-99,G,Chicago Bulls,0.495,30.4,6.6,4.3,0.5
Anfernee Hardaway,1995,1995-99,G,Orlando Magic,0.512,20.9,4.4,7.2,0.3
Karl Malone,1995,1995-99,F,Utah Jazz,0.536,26.7,10.6,3.5,1
Scottie Pippen,1995,1995-99,F,Chicago Bulls,0.48,21.4,8.1,5.2,1.1
David Robinson,1995,1995-99,C,San Antonio Spurs,0.53,27.6,10.8,2.9,3.2
John Stockton,1995,1995-99,G,Utah Jazz,0.542,14.7,3.1,12.3,0.3
Karl Malone,1994,1990-94,F,Utah Jazz,0.497,25.2,11.5,4,1.5
Hakeem Olajuwon,1994,1990-94,C,Houston Rockets,0.528,27.3,11.9,3.6,3.7
Scottie Pippen,1994,1990-94,F,Chicago Bulls,0.491,22,8.7,5.6,0.8
Latrell Sprewell,1994,1990-94,G,Golden State Warriors,0.433,21,4.9,4.7,0.9
John Stockton,1994,1990-94,G,Utah Jazz,0.528,15.1,3.1,12.6,0.3
Charles Barkley,1993,1990-94,F,Phoenix Suns,0.52,25.6,12.2,5.1,1
Karl Malone,1993,1990-94,F,Utah Jazz,0.552,27,11.2,3.8,1
Hakeem Olajuwon,1993,1990-94,C,Houston Rockets,0.529,26.1,13,3.5,4.2
Michael Jordan,1993,1990-94,G,Chicago Bulls,0.495,32.6,6.7,5.5,0.8
Mark Price,1993,1990-94,G,Cleveland Cavaliers,0.484,18.2,2.7,8,0.1
Karl Malone,1992,1990-94,F,Utah Jazz,0.526,28,11.2,3,0.6
Chris Mullin,1992,1990-94,F,Golden State Warriors,0.524,25.6,5.6,3.5,0.8
David Robinson,1992,1990-94,C,San Antonio Spurs,0.551,23.2,12.2,2.7,4.5
Michael Jordan,1992,1990-94,G,Chicago Bulls,0.519,30.1,6.4,6.1,0.9
Clyde Drexler,1992,1990-94,G,Portland Trail Blazers,0.47,25,6.6,6.7,0.9
Charles Barkley,1991,1990-94,F,Philadelphia 76ers,0.57,27.6,10.1,4.2,0.5
Karl Malone,1991,1990-94,F,Utah Jazz,0.527,29,11.8,3.3,1
David Robinson,1991,1990-94,C,San Antonio Spurs,0.552,25.6,13,2.5,3.9
Michael Jordan,1991,1990-94,G,Chicago Bulls,0.539,31.5,6,5.5,1
Magic Johnson,1991,1990-94,G,Los Angeles Lakers,0.477,19.4,7,12.5,0.2
Charles Barkley,1990,1990-94,F,Philadelphia 76ers,0.6,25.2,11.5,3.9,0.6
Patrick Ewing,1990,1990-94,C,New York Knicks,0.551,28.6,10.9,2.2,4
Karl Malone,1990,1990-94,F,Utah Jazz,0.562,31,11.1,2.8,0.6
Michael Jordan,1990,1990-94,G,Chicago Bulls,0.526,33.6,6.9,6.3,0.7
Magic Johnson,1990,1990-94,G,Los Angeles Lakers,0.48,22.3,6.6,11.5,0.4
Charles Barkley,1989,1985-89,F,Philadelphia 76ers,0.579,25.8,12.5,4.1,0.8
Karl Malone,1989,1985-89,F,Utah Jazz,0.519,29.1,10.7,2.7,0.9
Hakeem Olajuwon,1989,1985-89,C,Houston Rockets,0.508,24.8,13.5,1.8,3.4
Michael Jordan,1989,1985-89,G,Chicago Bulls,0.538,32.5,8,8,0.8
Magic Johnson,1989,1985-89,G,Los Angeles Lakers,0.509,22.5,7.9,12.8,0.3
Charles Barkley,1988,1985-89,F,Philadelphia 76ers,0.587,28.3,11.9,3.2,1.3
Hakeem Olajuwon,1988,1985-89,C,Houston Rockets,0.514,22.8,12.1,2.1,2.7
Michael Jordan,1988,1985-89,G,Chicago Bulls,0.535,35,5.5,5.9,1.6
Magic Johnson,1988,1985-89,G,Los Angeles Lakers,0.492,19.6,6.2,11.9,0.2
Larry Bird,1988,1985-89,F,Boston Celtics,No stats available.,,,,
Hakeem Olajuwon,1987,1985-89,C,Houston Rockets,0.508,23.4,11.4,2.9,3.4
Michael Jordan,1987,1985-89,G,Chicago Bulls,0.482,37.1,5.2,4.6,1.5
Magic Johnson,1987,1985-89,G,Los Angeles Lakers,0.522,23.9,6.3,12.2,0.5
Larry Bird,1987,1985-89,F,Boston Celtics,No stats available.,,,,
Kevin McHale,1987,1985-89,F,Boston Celtics,No stats available.,,,,
Magic Johnson,1986,1985-89,G,Los Angeles Lakers,0.526,18.8,5.9,12.6,0.2
Larry Bird,1986,1985-89,F,Boston Celtics,No stats available.,,,,
Isiah Thomas,1986,1985-89,G,Detroit Pistons,0.488,20.9,3.6,10.8,0.3
Dominique Wilkins,1986,1985-89,F,Atlanta Hawks,0.468,30.3,7.9,2.6,0.6
Kareem Abdul-Jabbar,1986,1985-89,C,Los Angeles Lakers,No stats available.,,,,
Magic Johnson,1985,1985-89,G,Los Angeles Lakers,0.561,18.3,6.2,12.6,0.3
Larry Bird,1985,1985-89,F,Boston Celtics,No stats available.,,,,
Isiah Thomas,1985,1985-89,G,Detroit Pistons,0.458,21.2,4.5,13.9,0.3
Moses Malone,1985,1985-89,C,Philadelphia 76ers,0.469,24.6,13.1,1.6,1.6
Bernard King,1985,1985-89,F,New York Knicks,No stats available.,,,,
